Barcode *,ItemName *,ProdDescription *,SecondName *,ProdPurchasePrice *,ProdSellPrice*,Subcategories_SCID*,
paint brush ,"1 1/2 paint brush Easy""","1 1/2 paint brush Easy""","1 1/2 paint brush Easy""",0,0,Brush,
paint brush ,"2 paint brush Easy""","2 paint brush Easy""","2 paint brush Easy""",0,0,Brush,
paint brush ,"3 paint brush Easy""","3 paint brush Easy""","3 paint brush Easy""",0,0,Brush,
paint brush ,"4 paint brush Easy""","4 paint brush Easy""","4 paint brush Easy""",0,0,Brush,
paint brush ,"5 paint brush Easy""","5 paint brush Easy""","5 paint brush Easy""",0,0,Brush,
paint brush ,"6 paint brush Easy""","6 paint brush Easy""","6 paint brush Easy""",0,0,Brush,
paint brush ,"1/2 paint brush HCL Classic""","1/2 paint brush HCL Classic""","1/2 paint brush HCL Classic""",0,0,Brush,
paint brush ,"5 paint brush HCL Classic""","5 paint brush HCL Classic""","5 paint brush HCL Classic""",0,0,Brush,
paint brush ,"6 paint brush HCL Classic""","6 paint brush HCL Classic""","6 paint brush HCL Classic""",0,0,Brush,
paint brush ,"1 1/2 paint brush Opel""","1 1/2 paint brush Opel""","1 1/2 paint brush Opel""",0,0,Brush,
paint brush ," 1/2 paint brush Opel"""," 1/2 paint brush Opel"""," 1/2 paint brush Opel""",0,0,Brush,
paint brush ,"3/4 paint brush Oxford ""","3/4 paint brush Oxford ""","3/4 paint brush Oxford """,0,0,Brush,
Roller brush,HCL Classic Roller brush ,HCL Classic Roller brush ,HCL Classic Roller brush ,0,0,Brush,
Tray,Paint Tray,Paint Tray,Paint Tray,0,0,Brush,
Roller brush,"4 roller brush""","4 roller brush""","4 roller brush""",0,0,Brush,
Roller brush,Baby roller brush,Baby roller brush,Baby roller brush,0,0,Brush,
Thinner,Thinner,Thinner,Thinner,0,0,Thinner,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
