Barcode *,ItemName *,CurrentQty,ProdPurchasePrice *,ProdSellPrice*
1080,80 DJ White-1080,12,700,890
1084,80 DJ White-1084,7,700,790
1087,80 DJ White-1087,12,600,790
1081,85 DJ White-1081,14,700,890
1085,85 DJ White-1085,8,600,790
1082,90 DJ White-1082,6,700,890
1086,90 DJ White-1086,3,700,890
1088,90 DJ White-1088,8,700,890
1083,95 DJ White-1083,9,800,990
1089,95 DJ White-1089,3,700,890
388,B. Denium-388,88,1700,2690
389,B. Denium-389,37,1700,2690
587,"B. M/L, XL-587",14,1175,1790
451,B.T.-451,16,1050,1690
589,B.U.-589,10,1425,2245
603,Baby Frock-603,10,850,1395
560,Baby Item-560,4,250,390
577,Baby Item-577,45,1195,1790
578,Baby Item-578,11,1175,1890
579,Baby Item-579,9,1195,1890
580,Baby Item-580,7,1195,1790
581,Baby Item-581,13,1195,1890
582,Baby Item-582,15,1175,1790
583,Baby Item-583,19,675,1190
584,Baby Item-584,20,725,1290
553,Baby Panal-553,15,390,590
849,Baby Set-849,5,990,1590
566,Baby Short-566,1,460,695
731,Baby Suit-731,3,790,1290
732,Baby Suit-732,4,790,1290
733,Baby Suit-733,5,790,1290
734,Baby Suit-734,6,890,1490
735,Baby Suit-735,6,745,1295
736,Baby Suit-736,4,990,1595
737,Baby Suit-737,3,990,1595
738,Baby Suit-738,6,990,1595
739,Baby Suit-739,6,990,1595
740,Baby Suit-740,5,1390,1990
741,Baby Suit-741,2,1150,1790
742,Baby Suit-742,2,1250,1950
743,Baby Suit-743,6,1990,2895
840,Bag-840,2,275,490
841,Bag-841,4,240,460
845,Bag-845,4,950,1590
846,Bag-846,1,650,990
847,Bag-847,2,1150,1790
1213,Bag-1213,4,575,950
1214,Bag-1214,4,575,950
1221,Bag-1221,10,850,1390
1222,Bag-1222,3,900,1590
1223,Bag-1223,4,950,1590
1224,Bag-1224,4,1250,1890
1225,Bag-1225,4,1600,2590
1226,Bag-1226,1,1500,2395
1227,Bag-1227,2,1500,2395
1228,Bag-1228,3,1350,1190
1229,Bag-1229,3,1250,1950
1230,Bag-1230,1,1250,1890
1231,Bag-1231,0,1500,2490
1232,Bag-1232,3,1250,1890
1233,Bag-1233,5,1250,1895
1234,Bag-1234,0,1250,1890
1463,Bag-1463,3,1100,1790
1464,Bag-1464,3,895,1390
1465,Bag-1465,4,1250,1890
1466,Bag-1466,0,790,1290
1467,Bag-1467,1,1950,2990
1495,Bag-1495,4,175,250
1496,Bag-1496,3,625,975
1497,Bag-1497,3,625,1290
1498,Bag-1498,3,550,890
1499,Bag-1499,2,2500,3890
1500,Bag-1500,3,1950,2990
1501,Bag-1501,2,1450,2690
1573,Bag-1573,3,950,1490
558,Bag Baby-558,3,920,1580
559,Bag Baby-559,4,720,1365
1552,Band-1552,31,175,370
1553,Band-1553,50,75,180
1360,Batchit-1360,9,1950,2995
851,Bath Towel-851,5,670,985
1365,Bathik-1365,95,775,1250
1366,Bathik-1366,112,840,1285
1038,Bathik Frock-1038,10,1850,2895
1039,Bathik Frock-1039,6,1790,2795
1040,Bathik Frock-1040,4,1750,2750
768,Bathik Lungi-768,6,1395,2295
1363,Bathik ST Boy-1363,29,425,695
1354,Bed Jacket L-1354,18,230,390
1353,Bed Jacket M-1353,18,220,390
1356,Bed Jacket XXL-1356,18,250,490
1355,Bed JacketXL-1355,21,240,460
759,BedSheet-759,6,1950,2950
760,BedSheet-760,46,225,350
1174,Beige  Black 30-1174,6,650,790
1170,Beige 28-1170,5,650,790
1171,Beige 30-1171,6,650,790
