no,code,Barcode,category,item_name,cost_price_qty,purchase_price,Selling_price,qty,stock,dis_limit
417,2878,2878,Hair care,Hair Clip 2878,150.00 - 365.00 - 6.000,150.00 , 365.00 , 6.000,6,250
418,2879,2879,Hair care,Hair Clip 2879,50.00 - 125.00 - 0.000,50.00 , 125.00 , 0.000,0,100
419,2880,2880,Hair care,Hair Band 2880,65.00 - 165.00 - 4.000,65.00 , 165.00 , 4.000,4,130
420,2881,2881,Hair care,Hair Band 2881,80.00 - 225.00 - 1.000,80.00 , 225.00 , 1.000,1,180
421,2882,2882,Hair care,Hair Clip 2882,60.00 - 80.00 - 7.000,60.00 , 80.00 , 7.000,7,70
422,2883,2883,Hair care,Hair Clip 2883,70.00 - 150.00 - 0.000,70.00 , 150.00 , 0.000,0,120
423,2884,2884,Hair care,Hair Clip 2884,100.00 - 225.00 - 7.000,100.00 , 225.00 , 7.000,7,180
545,4522,2885,Hair care,Hair Clip 1Pair,35.00 - 75.00 - 3.000,35.00 , 75.00 , 3.000,3,70
424,2886,2886,Hair care,Hair Band 2886,80.00 - 165.00 - 0.000,80.00 , 165.00 , 0.000,0,130
425,2887,2887,Hair care,Hair Band 2887,70.00 - 140.00 - 6.000,70.00 , 140.00 , 6.000,6,120
426,2888,2888,Hair care,Hair Care 2888,50.00 - 120.00 - 2.000,50.00 , 120.00 , 2.000,2,100
427,2889,2889,Hair care,Hair Care 2889,56.00 - 100.00 - 1.000,56.00 , 100.00 , 1.000,1,80
433,2895,2895,Hair care,Parachute Aloe Vera H Oil,102.00 - 150.00 - 2.000,102.00 , 150.00 , 2.000,2,150
3962,1848,2899,Watch &,Dash Doros Sport Watch,1000.00 - 2190.00 - 1.000,1000.00 , 2190.00 , 1.000,1,1700
3713,2438,2902,Ladies &,Watches Gents s/t,950.00 - 2150.00 - 0.000,950.00 , 2150.00 , 0.000,0,1500
434,2907,2907,Hair care,Hair Bool 2907,70.00 - 150.00 - 6.000,70.00 , 150.00 , 6.000,6,125
435,2908,2908,Hair care,Hair Bool 2908,80.00 - 140.00 - 4.000,80.00 , 140.00 , 4.000,4,130
436,2910,2910,Hair care,Hair Bool 2910,75.00 - 165.00 - 4.000,75.00 , 165.00 , 4.000,4,130
437,2911,2911,Hair care,Hair Bool 2911,100.00 - 225.00 - 3.000,100.00 , 225.00 , 3.000,3,180
438,2912,2912,Hair care,Hair Bool 2912,30.00 - 60.00 - 0.000,30.00 , 60.00 , 0.000,0,50
439,2913,2913,Hair care,Hair Bool 2913,50.00 - 100.00 - 2.000,50.00 , 100.00 , 2.000,2,80
