Barcode *,ItemName *,ProdDescription *,SecondName *,ProdPurchasePrice *,ProdSellPrice*,Subcategories_SCID*
PD_000053,MDF 8X4   18mm,,MDF 8X4   18mm,0,8250,59 x 4
PD_000054,MDF 8X4  25mm,,MDF 8X4  25mm,0,10500,60 x 4
PD_000055,Plywood  8X4  3mm,"These sheets offer strength and stability for a wide range of applications in the construction industry. Common uses include shuttering, formworks, roofing, sheathing, and general structural purposes",Plywood  8X4  3mm,0,1700,61 x 4
PD_000056,Plywood 8X4 6mm,"These sheets offer strength and stability for a wide range of applications in the construction industry. Common uses include shuttering, formworks, roofing, sheathing, and general structural purposes",Plywood 8X4 6mm,0,2650,62 x 4
PD_000057,Plywood 8X4 9mm,"These sheets offer strength and stability for a wide range of applications in the construction industry. Common uses include shuttering, formworks, roofing, sheathing, and general structural purposes",Plywood 8X4 9mm,0,2900,63 x 4
PD_000058,Plywood 8X4  12mm,"These sheets offer strength and stability for a wide range of applications in the construction industry. Common uses include shuttering, formworks, roofing, sheathing, and general structural purposes",Plywood 8X4  12mm,0,3250,64 x 4
PD_000059,Plywood  8X4   15mm,"These sheets offer strength and stability for a wide range of applications in the construction industry. Common uses include shuttering, formworks, roofing, sheathing, and general structural purposes",Plywood  8X4   15mm,0,4950,65 x 4
PD_000060,Plywood 8X4  18mm,"These sheets offer strength and stability for a wide range of applications in the construction industry. Common uses include shuttering, formworks, roofing, sheathing, and general structural purposes",Plywood 8X4  18mm,0,5650,66 x 4
PD_000061,Plywood 8X4 25mm,"These sheets offer strength and stability for a wide range of applications in the construction industry. Common uses include shuttering, formworks, roofing, sheathing, and general structural purposes",Plywood 8X4 25mm,0,9750,67 x 4
PD_000062,Solid Sheet  4ft  height 3mm Clear, Melwa Gypsum,Solid Sheet  4ft  height 3mm Clear,0,2550,68 x 4
PD_000063,Solid Sheet  4ft  height 3mm Blue, Melwa Gypsum,Solid Sheet  4ft  height 3mm Blue,0,2550,69 x 4
PD_000064,Solid Sheet  4ft  height 3mm Brown, Melwa Gypsum,Solid Sheet  4ft  height 3mm Brown,0,2550,70 x 4
PD_000065,Solid Sheet  4ft  height 3mm Green, Melwa Gypsum,Solid Sheet  4ft  height 3mm Green,0,2550,71 x 4
PD_000066,Solid Sheet  7ft  height 3mm  Clear, Melwa Gypsum,Solid Sheet  7ft  height 3mm  Clear,0,3400,72 x 4
PD_000067,Solid Sheet  7ft  height 3mm  Blue, Melwa Gypsum,Solid Sheet  7ft  height 3mm  Blue,0,3400,73 x 4
